industry_skill,gap_status,demand_percentage,recommended_priority,recommended_action,explanation
Legal,confirmed_gap,0.4272,High,Add to Curriculum,High industry demand (0.43%) but completely missing from current syllabus.
Voice Support,confirmed_gap,0.4272,High,Add to Curriculum,High industry demand (0.43%) but completely missing from current syllabus.
Corporate Sales,confirmed_gap,0.423,High,Add to Curriculum,High industry demand (0.42%) but completely missing from current syllabus.
Advanced Excel,confirmed_gap,0.4189,High,Add to Curriculum,High industry demand (0.42%) but completely missing from current syllabus.
Focus,confirmed_gap,0.4189,High,Add to Curriculum,High industry demand (0.42%) but completely missing from current syllabus.
Solving Queries,confirmed_gap,0.4147,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
Social media,confirmed_gap,0.4147,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
Real Estate Sales,confirmed_gap,0.4147,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
International Bpo,confirmed_gap,0.4147,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
PyTorch,confirmed_gap,0.4147,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
Sheet Metal,confirmed_gap,0.4106,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
Mechanical,confirmed_gap,0.4064,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
Data Engineering,confirmed_gap,0.4064,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
Distribution,confirmed_gap,0.4064,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
Counselling,confirmed_gap,0.4064,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
Heavy Fabrication,confirmed_gap,0.4064,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
Blended Process,confirmed_gap,0.4064,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
Process improvement,confirmed_gap,0.4064,High,Add to Curriculum,High industry demand (0.41%) but completely missing from current syllabus.
CRM,confirmed_gap,0.4023,High,Add to Curriculum,High industry demand (0.40%) but completely missing from current syllabus.
Outbound,confirmed_gap,0.4023,High,Add to Curriculum,High industry demand (0.40%) but completely missing from current syllabus.
Assurance,confirmed_gap,0.4023,High,Add to Curriculum,High industry demand (0.40%) but completely missing from current syllabus.
Revenue Generation,confirmed_gap,0.3981,High,Add to Curriculum,High industry demand (0.40%) but completely missing from current syllabus.
Real Estate,confirmed_gap,0.3981,High,Add to Curriculum,High industry demand (0.40%) but completely missing from current syllabus.
Internal Audit,confirmed_gap,0.394,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
Team management,confirmed_gap,0.3898,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
Employee Relations,confirmed_gap,0.3898,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
Management Skills,confirmed_gap,0.3898,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
Sales Management,confirmed_gap,0.3898,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
Stakeholder management,confirmed_gap,0.3857,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
Financial services,confirmed_gap,0.3857,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
Manager Quality Assurance,confirmed_gap,0.3857,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
US Process,confirmed_gap,0.3857,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
Interpersonal skills,confirmed_gap,0.3857,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
Team,confirmed_gap,0.3857,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
JIRA,confirmed_gap,0.3857,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
CAD,confirmed_gap,0.3857,High,Add to Curriculum,High industry demand (0.39%) but completely missing from current syllabus.
Outbound Calling,confirmed_gap,0.3815,High,Add to Curriculum,High industry demand (0.38%) but completely missing from current syllabus.
Risk Assessment,confirmed_gap,0.3815,High,Add to Curriculum,High industry demand (0.38%) but completely missing from current syllabus.
Regression Testing,confirmed_gap,0.3774,High,Add to Curriculum,High industry demand (0.38%) but completely missing from current syllabus.
Front end,confirmed_gap,0.3774,High,Add to Curriculum,High industry demand (0.38%) but completely missing from current syllabus.
Inbound Customer Service,confirmed_gap,0.3774,High,Add to Curriculum,High industry demand (0.38%) but completely missing from current syllabus.
MVC,confirmed_gap,0.3774,High,Add to Curriculum,High industry demand (0.38%) but completely missing from current syllabus.
Packaging,confirmed_gap,0.3774,High,Add to Curriculum,High industry demand (0.38%) but completely missing from current syllabus.
Etl,confirmed_gap,0.3774,High,Add to Curriculum,High industry demand (0.38%) but completely missing from current syllabus.
Cse,confirmed_gap,0.3732,High,Add to Curriculum,High industry demand (0.37%) but completely missing from current syllabus.
Workflow,confirmed_gap,0.3732,High,Add to Curriculum,High industry demand (0.37%) but completely missing from current syllabus.
Sap Abap,confirmed_gap,0.3732,High,Add to Curriculum,High industry demand (0.37%) but completely missing from current syllabus.
Welding,confirmed_gap,0.3732,High,Add to Curriculum,High industry demand (0.37%) but completely missing from current syllabus.
SEO,confirmed_gap,0.3691,High,Add to Curriculum,High industry demand (0.37%) but completely missing from current syllabus.
Costing,confirmed_gap,0.3691,High,Add to Curriculum,High industry demand (0.37%) but completely missing from current syllabus.
Claims,confirmed_gap,0.3649,High,Add to Curriculum,High industry demand (0.36%) but completely missing from current syllabus.
Interpersonal Skills,confirmed_gap,0.3649,High,Add to Curriculum,High industry demand (0.36%) but completely missing from current syllabus.
Regulatory,confirmed_gap,0.3649,High,Add to Curriculum,High industry demand (0.36%) but completely missing from current syllabus.
Control,confirmed_gap,0.3649,High,Add to Curriculum,High industry demand (0.36%) but completely missing from current syllabus.
Payments,confirmed_gap,0.3649,High,Add to Curriculum,High industry demand (0.36%) but completely missing from current syllabus.
Customer satisfaction,confirmed_gap,0.3649,High,Add to Curriculum,High industry demand (0.36%) but completely missing from current syllabus.
Customer Complaints,confirmed_gap,0.3608,High,Add to Curriculum,High industry demand (0.36%) but completely missing from current syllabus.
Sap Abap Development,confirmed_gap,0.3608,High,Add to Curriculum,High industry demand (0.36%) but completely missing from current syllabus.
Business Loan,confirmed_gap,0.3567,High,Add to Curriculum,High industry demand (0.36%) but completely missing from current syllabus.
Business development,confirmed_gap,0.3525,High,Add to Curriculum,High industry demand (0.35%) but completely missing from current syllabus.
Sap S Hana,confirmed_gap,0.3525,High,Add to Curriculum,High industry demand (0.35%) but completely missing from current syllabus.
Chat Process,confirmed_gap,0.3484,High,Add to Curriculum,High industry demand (0.35%) but completely missing from current syllabus.
Terraform,confirmed_gap,0.3484,High,Add to Curriculum,High industry demand (0.35%) but completely missing from current syllabus.
Warehouse,confirmed_gap,0.3484,High,Add to Curriculum,High industry demand (0.35%) but completely missing from current syllabus.
Statutory Compliance,confirmed_gap,0.3484,High,Add to Curriculum,High industry demand (0.35%) but completely missing from current syllabus.
Agile Methodology,confirmed_gap,0.3484,High,Add to Curriculum,High industry demand (0.35%) but completely missing from current syllabus.
Content Editing,confirmed_gap,0.3484,High,Add to Curriculum,High industry demand (0.35%) but completely missing from current syllabus.
Cross Sales,confirmed_gap,0.3484,High,Add to Curriculum,High industry demand (0.35%) but completely missing from current syllabus.
Electricals,confirmed_gap,0.3442,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
Banking Process,confirmed_gap,0.3442,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
Google Analytics,confirmed_gap,0.3442,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
C,confirmed_gap,0.3442,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
International,confirmed_gap,0.3442,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
Tableau,confirmed_gap,0.3401,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
Typescript,confirmed_gap,0.3401,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
MongoDB,confirmed_gap,0.3401,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
Android,confirmed_gap,0.3401,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
Bank Reconciliation,confirmed_gap,0.3401,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
Aml,confirmed_gap,0.3401,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
Machining,confirmed_gap,0.3401,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
Medical Writing,confirmed_gap,0.3401,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
Crm,confirmed_gap,0.3359,High,Add to Curriculum,High industry demand (0.34%) but completely missing from current syllabus.
